사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,폐기물구분명,인허가구분명,폐기물처리업구분명,폐기물처리업별처리구분명,허용보관량,허용보관량내용,환경업무구분명,정제지번주소,정제도로명주소,정제우편번호
미래골재환경,20130604,운영중,,,,,,,계획,,,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 유천동 403-7번지,대구광역시 달서구 월배로5길 11 (유천동),704390
(주)형우산업,20160520,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,,"대구광역시 동구 동북로 433, 3층 302호 (효목동)",
성실환경,20070510,운영중,,,,,,,변경허가,,,,,건설폐기물처리업사업계획(허가)신청,대구광역시 서구 내당동 196-1번지,,703060
대덕환경산업(주),20130802,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,,"대구광역시 북구 학정로 11, 3층 (태전동)",
(주)대구환경관리,20151211,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,,대구광역시 달성군 현풍면 국가산단북로100길 50,
(주)한솔이엔씨,20111201,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 남구 대명동 1592-8번지 2층,"대구광역시 남구 대명복개로2길 7-2, 2층 (대명동)",705810
(주)황정환경,20010928,운영중,,,,,,,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 남구 대명동 1696-11번지,대구광역시 남구 대명로49길 29 (대명동),705802
(주)하나환경,20020528,폐업 등,20071116,,,,,,신고,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 남구 이천동 638-46번지,대구광역시 남구 명덕로52길 12-1  (이천동),705010
한국폐목재활용처리사업협동조합,20071025,폐업 등,20090619,,,,,,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 남구 대명동 991-8번지 금강빌딩 201호,"대구광역시 남구 두류공원로 75  (대명동,금강빌딩 201호)",705030
통일환경,20160812,폐업 등,20160812,,,,,,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 수성구 파동 27-272번지,대구광역시 수성구 파동로 176-1 (파동),706847
녹색환경(주),20100901,폐업 등,20100827,,,,,,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 수성구 범어동 29-4번지 핀코빌딩302호,"대구광역시 수성구 상록로2길 55  (범어동,핀코빌딩302호)",706817
동명환경(주),20100316,폐업 등,20100315,,,,,,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 수성구 상동 261-7번지,대구광역시 수성구 상화로 34  (상동),706829
금해산업(주),20071108,폐업 등,20090213,,,,,,신고,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 수성구 매호동 1335-12번지,대구광역시 수성구 달구벌대로627길 22-1  (매호동),706140
(주)초성환경,20170719,폐업 등,20160817,,,,,,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 수성구 범어동 431-22번지,대구광역시 수성구 범어로 178 (범어동),706020
(주)초성환경,20070207,운영중,,,,,,,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 수성구 만촌동 960-26번지 2층,,706020
(주)초성환경,20070404,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 수성구 만촌동 960-26번지,대구광역시 수성구 동원로 42  (만촌동),706020
