사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,복지시설종류,복지시설종류명,정제지번주소,정제도로명주소,정제우편번호
가람요양원,20131209,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 신서동,,
삼성요양원1,20140328,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 효목동,,
삼성요양원2,20140328,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 효목동,,
사랑안에노인요양원2,20140402,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 효목동,,
효청원공동생활가정,20140715,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 신천동,,
(주)진명해피케어방촌지점,20120523,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 방촌동,,
(주)진명해피케어동구지점,20120703,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 방촌동,,
한마음요양원1,20120829,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 율하동 603호,,
한마음요양원2,20120829,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 율하동 602호,,
율하요양원,20121017,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 율하동 1433번지 느티타워 303호,,
동구안심케어복지센터,20130206,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 율하동 2동,,
팔공어르신요양원 동촌센터,20130319,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 입석동,,
사회복지시설 도울노인요양센터,20130620,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 효목동,,
에덴노인요양센터2,20130808,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 입석동,,
에덴노인요양센터1,20130808,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 입석동,,
도울노인복지센터,20110302,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 효목동 526-1번지,,
한마음요양복지센터,20110616,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 율하동 1440번지 6층,,
