사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,건물용도명,공연장형태구분명,문화사업자구분명,문화체육업종명,방음시설여부,비디오재생기명,비상계단여부,비상구여부,소방시설여부,시설면적,음향시설여부,자동환기여부,제작취급품목내용,조명시설유무,조명시설조도정보,주변환경명,지역구분명,청소년실여부,최초등록시점,통로너비,특수조명여부,편의시설여부,품목명,정제지번주소,정제도로명주소,정제우편번호
W DVD 감상실,20050715,폐업 등,20120906,,,,,근린생활시설,,,비디오물감상실업,,자동,,,,252.37,,,,,,유흥업소밀집지역,중심상업지역,,,,,,,대구광역시 중구 삼덕동1가 15-1번지,대구광역시 중구 동성로3길 35 (삼덕동1가),
레드캐슬(대구점),20060612,운영중,,,,,,,,,비디오물감상실업,,자동,,,,277.69,,,,,,,,,,,,,,대구광역시 중구 사일동 54-1번지,대구광역시 중구 중앙대로 412-21 (사일동),
메가조이디지털영화관,20061201,운영중,,,,,,근린생활시설,,,비디오물감상실업,,자동,,,,434.59,,,,,,,중심상업지역,,,1.1,,,,대구광역시 중구 삼덕동1가 25-1번지,대구광역시 중구 동성로5길 62 (삼덕동1가),
씨네마홀,20071107,폐업 등,20180329,,,,,근린생활시설,,,비디오물감상실업,,자동,,,,355.66,,,,,,,일반상업지역,,,1.1,,,,대구광역시 중구 삼덕동1가 28-29번지,대구광역시 중구 동성로3길 36 (삼덕동1가),
시네스테이션,20071204,폐업 등,20111007,,,,,근린생활시설,,,비디오물감상실업,,자동,,,,199.91,,,,,,,일반상업지역,,,1,,,,대구광역시 중구 동문동 38-11번지,대구광역시 중구 국채보상로123길 23  (동문동),
TAKE5 DVD방,20080115,운영중,,,,,,근린생활시설,,,비디오물감상실업,,,,,,253.32,,,,,,,중심상업지역,,,,,,,대구광역시 중구 삼덕동1가 7-2번지,대구광역시 중구 동성로5길 32 (삼덕동1가),
무비,20081222,폐업 등,20090210,,,,,근린생활시설,,유통관련업,비디오물감상실업,,,,,,338.19,,,,,,,일반상업지역,,,,,,,대구광역시 중구 동성로1가 22-0001번지,,700091
영상휴게실,20090219,폐업 등,20090415,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 남산동 614-0024번지,,700440
코코영화방,20140523,운영중,,,,,,,,,비디오물감상실업,,,,,,253.32,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 7-2번지,대구광역시 중구 동성로5길 32 (삼덕동1가),
더블유디브이디방,20180731,운영중,,,,,,,,,비디오물감상실업,,,,,,134.25,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 28-26번지 2층,"대구광역시 중구 동성로3길 38, 2층 (삼덕동1가)",
경대비디오영상,19990621,폐업 등,20061010,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 동구 신암동 784-79번지,대구광역시 동구 평화로 6  (신암동),701820
무쏘비디오감상실,19990621,폐업 등,20071004,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 동구 신천동 378-4번지,대구광역시 동구 동부로30길 21  (신천동),701829
새마을비디오감상실,19990621,폐업 등,20071017,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 동구 신암동 113-3번지,대구광역시 동구 동북로 413  (신암동),701810
영비디오감상실,19990621,폐업 등,20090706,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 동구 신암동 603-128번지,대구광역시 동구 아양로 51  (신암동),701819
연인비디오방,19990621,폐업 등,20031218,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 동구 신천동 386-4번지,대구광역시 동구 동부로 160  (신천동),701828
시네마월드,19990621,폐업 등,20051019,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 동구 신암동 590-1번지,대구광역시 동구 아양로 49  (신암동),701820
테마비디오방,19990621,폐업 등,20090924,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 동구 신천동 330-8번지,대구광역시 동구 동부로30길 8  (신천동),701828
팝스디브이디영화관,20030519,폐업 등,20110623,,,,,근린생활시설,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,일반주거지역,,,,,,,대구광역시 동구 신천동 383-4번지,대구광역시 동구 동부로30길 7  (신천동),701828
칸 디브이디영화관,20050322,폐업 등,20101217,,,,,근린생활시설,,유통관련업,비디오물감상실업,,,,,,176.33,,,,,,기타,일반상업지역,,,,,,,대구광역시 동구 신암동 216-18번지,대구광역시 동구 아양로 74  (신암동),701815
비디오영상마당,20090112,폐업 등,20090911,,,,,근린생활시설,,,비디오물감상실업,,수동,,,,110.68,,,,,,기타,일반주거지역,,,,,,,대구광역시 동구 신암동 215-11번지,대구광역시 동구 아양로 60  (신암동),
문화DVD,20130415,운영중,,,,,,근린생활시설,,,비디오물감상실업,,,,,,206.15,,,,,,유흥업소밀집지역,상업지역,,,,,,,대구광역시 동구 신천동 296-4번지,"대구광역시 동구 동부로22길 62, 3층 (신천동)",
키노,19961113,폐업 등,20060123,,,,,,,유통관련업,비디오물감상실업,,자동,,,,207.63,,,,,,,,,,,,,,대구광역시 달서구 상인동 1529-9번지 (3층),"대구광역시 달서구 상인서로10길 6-7  (상인동,(3층))",704818
우리두리,19960916,폐업 등,20060601,,,,,,,유통관련업,비디오물감상실업,,자동,,,,161.59,,,,,,,,,,,,,,대구광역시 달서구 신당동 1790-20번지 (5층),"대구광역시 달서구 서당로7길 52  (신당동,(5층))",704922
둘리,19961010,폐업 등,20090626,,,,,,,,비디오물감상실업,,자동,,,,99,,,,,,,,,,,,,,대구광역시 달서구 두류동 489-8번지 (2층),"대구광역시 달서구 달구벌대로 1726-8  (두류동,(2층))",
랜드,19960905,폐업 등,20060612,,,,,,,유통관련업,비디오물감상실업,,자동,,,,161.7,,,,,,,,,,,,,,대구광역시 달서구 두류동 147-1번지,대구광역시 달서구 두류공원로50길 2  (두류동),704909
영화보기성서2호점,19971209,폐업 등,20130131,,,,,,,유통관련업,비디오물감상실업,,자동,,,,184.8,,,,,,,,,,,,,,대구광역시 달서구 신당동 1721-5번지 (4층),"대구광역시 달서구 서당로9길 43  (신당동,(4층))",704921
채널4 DVD영화관,19970317,폐업 등,20090410,,,,,,,,비디오물감상실업,,자동,,,,196.62,,,,,,,,,,,,,,대구광역시 달서구 신당동 1721-4번지 (4층),"대구광역시 달서구 서당로9길 47  (신당동,(4층))",704921
아트 비디오방,20010226,운영중,,,,,,,,,비디오물감상실업,,자동,,,,110.3,,,,,,,,,,,,,,대구광역시 서구 비산동 881-3번지,대구광역시 서구 서대구로 292 (비산동),
늑대와여우,19970317,폐업 등,20090205,,,,,,,,비디오물감상실업,,자동,,,,187.44,,,,,,,,,,,,,,대구광역시 달서구 신당동 1790-4번지 (지하1층),"대구광역시 달서구 계대동문로 6-1  (신당동,(지하1층))",
영화보기,19970620,폐업 등,20090318,,,,,,,,비디오물감상실업,,자동,,,,188.43,,,,,,,,,,,,,,대구광역시 달서구 신당동 1790-9번지 (4층),"대구광역시 달서구 계대동문로 14  (신당동,(4층))",704922
