사업장명,정제도로명주소
신당한화꿈에그린 경로당,대구광역시 달서구 달서대로 719
대남 경로당,대구광역시 달서구 앞산순환로39안길 11
두류3동 경로당,대구광역시 달서구 야외음악당로39길 54
경로당,대구광역시 달서구 한들로 31
대곡이오스 경로당,대구광역시 달서구 비슬로550길 38
앞산청구제네스 경로당,대구광역시 달서구 월배로 340
앞산청구제네스경로당,대구광역시 달서구 월배로 340
죽전그린빌 경로당,대구광역시 달서구 와룡로53길 40
호림경로당,대구광역시 달서구 호산동로35길 42-10
용산롯데캐슬그랜드경로당,대구광역시 달서구 장산남로 33
영남네오빌파크 경로당,대구광역시 달서구 장산남로 33
월배경로당,대구광역시 달서구 상화로7길 121
성서주공6단지경로당,대구광역시 달서구 성지로 35
용산2차서한화성타운경로당,대구광역시 달서구 용산큰못길 30
한마음타운경로당,대구광역시 달서구 선원남로 151
용산1차서한화성타운,대구광역시 달서구 장산로 10
용산영남타운경로당,대구광역시 달서구 용산로 266
용산2차우방타운경로당,대구광역시 달서구 용산서로 38 
용산세광태왕2차타운경로당,대구광역시 달서구 용산서로 9
용산현대우방타운,대구광역시 달서구 용산로 253
용산보성타운경로당,대구광역시 달서구 용산서로 37
용산청구타운경로당,대구광역시 달서구 용산서로 22
배실경로당,대구광역시 달서구 선원로23남길 54
사령봉경로당,대구광역시 달서구 달구벌대로245길 17-12
삼성한국형아파트경로당,대구광역시 달서구 호산로 126
삼성명가타운경로당,대구광역시 달서구 호산로 125
사월경로당,대구광역시 수성구 달구벌대로 3321-4
매호경로당,대구광역시 수성구 천을로31길 40
매호공원경로당,대구광역시 수성구 천을로23길 5
누리타운경로당,대구광역시 수성구 달구벌대로637길 21
두레타운경로당,대구광역시 수성구 천을로 131
중부리경로당,대구광역시 수성구 수성로52안길 7-10
사월보성타운경로당,대구광역시 수성구 욱수천로 133
시지3차신매보성타운경로당,대구광역시 수성구 달구벌대로651길 23
신매우방타운경로당,대구광역시 수성구 달구벌대로651길 33
각계경로당,대구광역시 수성구 달구벌대로530길 146
범물2동경로당,대구광역시 수성구 지범로48길 14-1
대흥경로당,대구광역시 수성구 월드컵로6길 54
가천경로당,대구광역시 수성구 고모로24길 25
노변동서우방타운경로당,대구광역시 수성구 노변공원로 22
하연지경로당,대구광역시 수성구 달구벌대로576길 50 
노변청구타운경로당,대구광역시 수성구 시지로 21
지산2동 보성맨션경로당,대구광역시 수성구 지범로21길 3
지산에덴경로당,대구광역시 수성구 용학로 223
협화맨션경로당,대구광역시 수성구 지범로22길 23
범물경로당,대구광역시 수성구 범안로16길 46
범물시영1단지경로당,대구광역시 수성구 용학로 336
범물공원경로당,대구광역시 수성구 지범로 232
상동청구타운경로당,대구광역시 수성구 수성로19길 41
파동 제1경로당,대구광역시 수성구 파동로38길 45-13
파동 제2경로당,대구광역시 수성구 파동로18길 56
