상가업소번호,상호명,상권업종분류명,도로명주소,lat,lng
21209360,아이보물섬어린이집,유아교육,대구광역시 북구 대천로 101,35.9378168,128.5612001
21210236,명문세가어린이집,유아교육,대구광역시 북구 복현로 50,35.8966921,128.6248467
21212676,꼬꼬마어린이집,유아교육,대구광역시 달서구 상원로4길 7,35.811167,128.5367825
21215394,아일랜드어린이집,유아교육,대구광역시 달성군 화원읍 화원로3길 66,35.8057702,128.4977365
21221465,칼라창의센터,유아교육,대구광역시 달서구 장기로 255,35.8433344,128.5323487
21224642,담아어린이집,유아교육,대구광역시 수성구 지산로 56,35.8265576,128.6345605
21228259,은비놀이방,유아교육,대구광역시 북구 태전로19길 7-10,35.9270304,128.5412768
21229399,요한바오르2세어린이집,유아교육,대구광역시 남구 현충로 2,35.8340496,128.5814191
21230665,명곡어린이집,유아교육,대구광역시 달성군 화원읍 명곡로 30,35.7966486,128.4951417
21231173,태전휴먼시아어린이집,유아교육,대구광역시 북구 매전로 73,35.9116768,128.5454012
21232894,우리뜰어린이집,유아교육,대구광역시 북구 호국로39길 27,35.9189424,128.5961883
21241990,영재어린이집,유아교육,대구광역시 달서구 신당로 56,35.8527016,128.4979101
21253929,행복한어린이집,유아교육,대구광역시 달서구 학산로 30,35.8276817,128.5336276
21259097,파동새마을유아원,유아교육,대구광역시 수성구 파동로38길 45-3,35.8189954,128.614636
21261673,배꼽놀이방,유아교육,대구광역시 수성구 고산로 90,35.8382794,128.705205
21263910,강변어린이집,유아교육,대구광역시 동구 동촌로54길 13,35.8781615,128.6688071
21266870,예은놀이방,유아교육,대구광역시 달서구 한실로 30,35.8065976,128.53001
21276618,인성어린이집,유아교육,대구광역시 달서구 선원남로 99,35.858196,128.5118664
21280719,모아어린이짐,유아교육,대구광역시 북구 서변로 88,35.9236508,128.5976497
21290121,에덴동산어린이집,유아교육,대구광역시 달서구 호산로 125,35.8508393,128.4756956
21290679,모아어린이집,유아교육,대구광역시 수성구 천을로 170,35.8426562,128.7087163
21294691,효동어린이집,유아교육,대구광역시 수성구 들안로40길 57,35.8486015,128.619472
21309291,호원재단,유아교육,대구광역시 동구 신서로 71-80,35.8754773,128.7192035
21458896,한국어린이집,유아교육,대구광역시 동구 송라로 50-1,35.87176,128.6194418
21548513,가온어린이집,유아교육,대구광역시 중구 달구벌대로 1970,35.863368,128.5802524
21548886,배꼽어린이집,유아교육,대구광역시 동구 동호로 88,35.8657254,128.7270989
21558529,즐거운어린이집,유아교육,대구광역시 서구 문화로47길 3,35.8759511,128.5576294
21605749,신광어린이집,유아교육,대구광역시 북구 학남로15길 50-16,35.94365200000001,128.5728195
21627745,한국영재교육문화원본원,유아교육,대구광역시 수성구 달구벌대로 3110,35.8418552,128.6968138
21640717,토마틀영재교육원,유아교육,대구광역시 수성구 화랑로8길 11-13,35.8705868,128.633907
21653757,꿈스토리어린이집,유아교육,대구광역시 수성구 충의로4길 38,35.8654913,128.6473277
21658633,궁전어린이집,유아교육,대구광역시 북구 관음동로32길 18-4,35.9470205,128.5482355
21675209,나경영아전담어린이집,유아교육,대구광역시 달서구 상화로 26-16,35.8091574,128.5165508
