사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,객실수,건물용도명,건축연면적,기념품종류명,놀이기구수내역,놀이시설수,무대면적,문화사업자구분명,문화체육업종명,발전시설유무,방송시설유무,보험기관명,보험시작일자,보험종료일자,부대시설내역,시설규모,시설면적,안내소유무,영문상호명,의무실유무,자본금,제작취급품목내용,좌석수,주변환경명,지역구분명,정제지번주소,정제도로명주소,정제우편번호
더 베스트,20120814,폐업 등,20120820,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 동구 봉무동 1545번지 이시아폴리스라이프스타일센터 내,"대구광역시 동구 팔공로49길 16 (봉무동, 이시아폴리스라이프스타일센터 내)",701170
하이키즈,20160218,폐업 등,20170328,,,,,,,,,"미니회전목마1대, 코인라이더1대",,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 동천동 931-1번지,"대구광역시 북구 대천로 85, 2층 (동천동)",
총형스포츠 홈런짱,20160202,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 18-24,"대구광역시 중구 동성로5길 55, 지하1층 (삼덕동1가)",
크리드샷,20161006,폐업 등,20171229,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 동천동 900-1번지,대구광역시 북구 동천로 128 (동천동),
나인로드 피제리아 침산점,20161006,운영중,,,,,,,,,,,1,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 칠성동2가 369-3번지,대구광역시 북구 중앙대로 531 (칠성동2가),
뽑아방,20160930,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 18-11,"대구광역시 중구 동성로5길 41, 1층 (삼덕동1가)",
푸쉬푸쉬,20160913,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 22-9,"대구광역시 중구 동성로5길 75, 1층 (삼덕동1가)",
시피 스마일토이,20160913,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 59-1,"대구광역시 중구 동성로5길 84, 1층 (삼덕동1가)",
홈그라운드 야구장,20161005,운영중,,,,,,,,,,,0,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 동천동 909-1번지,대구광역시 북구 동천로 128-6 (동천동),
광장 노리터,20161110,폐업 등,20180320,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 수성구 신매동 567-13번지,대구광역시 수성구 달구벌대로 3204-1 (신매동),
토이랜드,20161130,폐업 등,20180228,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 수성구 신매동 567-58번지,"대구광역시 수성구 신매로19길 46, 106호 (신매동)",
PICK ME,20161124,폐업 등,20171229,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 동천동 898-2번지,"대구광역시 북구 동천로 128-9, 1층 (동천동)",
(주)타요키즈카페대백아울렛점,20170517,운영중,,,,,,,,,,,3,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 동구 신천동 294-5번지,"대구광역시 동구 동대구로 454, 6층 (신천동)",
(주)올리브스튜디오 코코몽 키즈랜드 동아수성점,20170523,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 수성구 범물동 1273번지,"대구광역시 수성구 지범로 191, 8층 (범물동, 동아백화점수성점)",

